Driver,Cost,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8
Hamilton,30.6,45,44,32,19,59,-3,35,46
Vettel,28.4,22,27,36,44,35,35,50,0
Verstappen,20.5,-6,34,13,37,38,56,2,33
Raikkonen,19.5,38,-5,23,16,38,39,37,30
Ricciardo,20.1,-3,26,44,25,29,-8,24,-13
Bottas,24.5,7,31,20,36,19,0,23,33
Magnussen,8.1,12,23,15,3,25,23,11,2
Sainz,9.8,26,21,6,12,30,5,-14,-1
Leclerc,5.7,26,17,1,15,9,20,-8,-2
Ericsson,6.1,12,10,15,8,7,13,-13,16
Stroll,8.1,16,15,2,-12,6,4,9,-14
Alonso,10.6,24,16,-6,-11,4,22,22,0
Sirotkin,7,-13,14,5,5,13,11,14,-11
Perez,11.9,35,18,0,-3,-13,18,8,22
Gasly,6.9,14,-11,22,15,-11,10,10,14
Vandoorne,7,14,-13,4,5,15,1,12,15
Ocon,10,-6,-11,22,12,-11,26,22,16
Grosjean,5.4,-20,-11,11,9,3,28,-9,20
Hulkenberg,11,-8,-14,16,19,11,-11,26,27
Hartley,5.6,10,9,-2,-11,15,-14,-20,16
